FemaleMid,Earring Female Mid,Blonde Bob Female Mid,Green Eye Shadow Female Mid,,,,
MaleDark,Smile Male Dark,Mohawk Male Dark,,,,,
FemaleLight,Wild Hair Female Light,,,,,,
MaleDark,Wild Hair Male Dark,Pipe Male Dark,Nerd Glasses Male Dark,,,,
MaleMid,Goat Male Mid,Earring Male Mid,Wild Hair Male Mid,Big Shades Male Mid,,,
FemaleMid,Earring Female Mid,Half Shaved Female Mid,Purple Eye Shadow Female Mid,,,,
MaleMid,Do-rag Male Mid,,,,,,
FemaleMid,Spots Female Mid,Wild White Hair Female Mid,Clown Eyes Blue Female Mid,,,,
MaleDark,Luxurious Beard Male Dark,Messy Hair Male Dark,,,,,
MaleMid,Big Beard Male Mid,Police Cap Male Mid,Clown Nose Male Mid,,,,
FemaleDark,Mohawk Female Dark,Blue Eye Shadow Female Dark,,,,,
FemaleMid,Black Lipstick Female Mid,Straight Hair Dark Female Mid,Clown Eyes Green Female Mid,,,,
FemaleDark,Purple Lipstick Female Dark,Blonde Short Female Dark,,,,,
FemaleLight,Black Lipstick Female Light,Straight Hair Blonde Female Light,Big Shades Female Light,,,,
FemaleDark,Hot Lipstick Female Dark,Pilot Helmet Female Dark,Pipe Female Dark,,,,
MaleAlbino,Luxurious Beard Male Albino,Wild Hair Male Albino,Regular Shades Male Albino,,,,
MaleMid,Earring Male Mid,Stringy Hair Male Mid,Small Shades Male Mid,,,,
MaleLight,Frown Male Light,Mohawk Male Light,,,,,
MaleMid,Muttonchops Male Mid,Eye Mask Male Mid,,,,,
FemaleDark,Hot Lipstick Female Dark,Bandana Female Dark,Horned Rim Glasses Female Dark,,,,
MaleLight,Crazy hair Male Light,,,,,,
MaleLight,Earring Male Light,Messy Hair Male Light,Classic Shades Male Light,,,,
FemaleDark,Purple Lipstick Female Dark,Pilot Helmet Female Dark,,,,,
MaleLight,Handlebars Male Light,Earring Male Light,Do-rag Male Light,,,,
MaleLight,Smile Male Light,Mohawk Dark Male Light,,,,,
FemaleDark,Wild White Hair Female Dark,,,,,,
FemaleMid,Dark Hair Female Mid,,,,,,
MaleLight,Earring Male Light,Peak Spike Male Light,,,,,
MaleDark,Crazy hair Male Dark,Big Shades Male Dark,,,,,
